pl_rade,Teq,st_teff,pl_orbsmax,st_met
11.5,1217.0,5521.0,0.1097,0.29
1.59,1424.0,4374.0,0.0073406442366587225,-0.95
12.408,1394.0,5747.0,0.04127,0.377
8.709,855.0,5846.0,0.1308,0.3
1.31,543.0,4699.0,0.1463,0.11
11.747,1201.0,5690.0,0.0757,-0.03
13.563,1492.0,5610.0,0.0448,0.15
6.35,411.0,5770.0,0.8121473485203347,0.01
2.21,684.0,4841.0,0.0881,-0.06
2.25,839.0,4819.0,0.0629,0.095
1.773,1177.0,5495.0,0.04565,0.07
2.894,822.0,5495.0,0.0936,0.07
0.821,996.0,5495.0,0.0637,0.07
0.952,675.0,5495.0,0.1387,0.07
2.1,280.0,5596.0,0.812,-0.255
0.31,724.0,5357.0,0.1019,-0.36
0.755,620.0,5357.0,0.139,-0.36
2.03,504.0,5357.0,0.2109,-0.36
0.567,709.0,4909.0,0.06702,0.11
1.154,626.0,4909.0,0.08618,0.11
2.17,539.0,4909.0,0.1162,0.11
0.861,451.0,4909.0,0.1656,0.11
1.199,434.0,5421.0,0.3192,0.05
15.4,1675.0,6643.0,0.06,0.0
2.332,797.0,5868.0,0.1237,-0.12
18.921,1820.0,6536.0,0.06043,0.19
6.389,1049.0,5970.0,0.071,0.0
1.681,5018.0,5275.0,0.0021874073954359745,0.05
1.371,3198.0,5543.0,0.011549703351454511,-0.543
3.0,849.0,7500.0,0.2706171500089433,0.05
2.52,529.0,3985.0,0.0707,-0.26
2.04,491.0,3800.0,0.0752,-0.5
6.18,663.0,4960.0,0.113,0.37
5.44,2262.0,5066.4,0.009739275151006121,0.12
1.55,356.0,3075.0,0.083,-0.25
10.088,3987.0,4780.0,0.008992858615857881,0.39
9.427,1276.0,5889.0,0.059,0.49
13.798,1597.0,5603.0,0.0497,0.44
12.588,1341.0,5678.0,0.05064,0.217
2.457,1048.0,4570.0,0.02678380292642768,-0.238
2.12,669.0,3985.0,0.0443,-0.26
3.01,1127.0,5151.0,0.049,0.17
12.442,1495.0,6361.0,0.06,-0.08
5.26,1504.0,3765.0,0.008101030976492235,-0.71
2.453,1219.0,4969.0,0.02844130039666755,-0.133
1.989,950.0,4756.0,0.03798185221805111,-0.372
2.773,879.0,4357.0,0.03735177071573143,-0.439
3.662,2531.0,4263.0,0.004593217142464071,0.17
3.227,2060.0,4590.0,0.009296491766483351,0.428
6.06,1522.0,5905.0,0.0491,0.167
1.71,2481.0,5905.0,0.019787120623302863,-0.09
1.9,2219.0,5905.0,0.02473930982463499,-0.09
1.99,1921.0,5905.0,0.03300377658453469,-0.09
7.22,377.0,6000.0,0.6217239702903946,0.08
1.17,1648.0,6020.0,0.04486260297830508,-0.14
0.89,927.0,5440.0,0.061,-0.24
2.87,1213.0,6900.0,0.1216,0.0
3.15,916.0,5510.0,0.1792,-0.16
2.44,603.0,5626.0,0.3045,0.14
2.9,1225.0,6432.0,0.0905,-0.34
3.04,563.0,5592.0,0.3802,0.16
2.18,969.0,4897.0,0.05486338696855935,-0.03
1.9,724.0,3690.0,0.033548,0.0
1.243,610.0,3300.0,0.025,-0.03
11.063,707.0,6170.0,0.249,0.09
11.6,806.0,3430.0,0.0199,0.0
11.321,388.0,5695.0,0.828,0.253
3.51,689.0,5151.0,0.131,0.17
5.93,925.0,4960.0,0.058,0.37
2.24,688.0,4757.0,0.09,0.02
11.893,1135.0,5977.0,0.0892,0.15
1.39,825.0,3985.0,0.0291,-0.26
13.675,1505.0,6030.0,0.0607,-0.18
3.02,1472.0,4960.0,0.0229,0.37
3.78,543.0,5151.0,0.211,0.17
16.813,3997.0,6000.0,0.009239318725450016,0.29
3.96,880.0,5840.0,0.108,-0.09
1.242,730.0,3381.0,0.01848,-0.13
1.672,512.0,3185.0,0.061,-0.07
21.017,2540.0,7300.0,0.0389,-0.1
11.456,969.0,4775.0,0.0407,-0.5
12.218,467.0,3799.0,0.095,-0.01
2.91,345.0,5738.0,0.4572,-0.06
1.76,1759.0,4922.0,0.0133,0.2
1.83,1180.0,6688.0,0.0928,0.07
